,roles
349,Fishers and Related Fishing Workers
350,Fitness Trainers and Aerobics Instructors
351,Fitness and Wellness Coordinators
352,Flight Attendants
353,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
354,Floor Sanders and Finishers
355,Floral Designers
356,Food Batchmakers
357,Food Cooking Machine Operators and Tenders
358,Food Preparation Workers
359,Food Science Technicians
360,Food Scientists and Technologists
361,"Food Servers, Nonrestaurant"
362,Food Service Managers
363,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
364,"Foreign Language and Literature Teachers, Postsecondary"
365,Forensic Science Technicians
366,Forest Fire Fighting and Prevention Supervisors
367,Forest Fire Inspectors and Prevention Specialists
368,Forest Firefighters
369,Forest and Conservation Technicians
370,Forest and Conservation Workers
371,Foresters
372,"Forestry and Conservation Science Teachers, Postsecondary"
373,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
374,Foundry Mold and Coremakers
375,"Fraud Examiners, Investigators and Analysts"
376,Freight Forwarders
377,Freight and Cargo Inspectors
378,Fuel Cell Engineers
379,Fuel Cell Technicians
380,Fundraisers
381,Funeral Attendants
382,Funeral Service Managers
383,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
384,Furniture Finishers
385,Gaming Cage Workers
386,Gaming Change Persons and Booth Cashiers
387,Gaming Dealers
388,Gaming Managers
389,Gaming Supervisors
390,Gaming Surveillance Officers and Gaming Investigators
391,Gaming and Sports Book Writers and Runners
392,Gas Compressor and Gas Pumping Station Operators
393,Gas Plant Operators
394,Gem and Diamond Workers
395,General and Operations Managers
396,Genetic Counselors
397,Geneticists
398,Geodetic Surveyors
399,Geographers
400,Geographic Information Systems Technicians
401,"Geography Teachers, Postsecondary"
402,Geological Sample Test Technicians
403,Geophysical Data Technicians
404,"Geoscientists, Except Hydrologists and Geographers"
405,Geospatial Information Scientists and Technologists
406,Geothermal Production Managers
407,Geothermal Technicians
408,"Glass Blowers, Molders, Benders, and Finishers"
409,Glaziers
410,Government Property Inspectors and Investigators
411,"Graders and Sorters, Agricultural Products"
412,Graduate Teaching Assistants
413,Graphic Designers
414,Green Marketers
415,"Grinding and Polishing Workers, Hand"
416,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
417,"Hairdressers, Hairstylists, and Cosmetologists"
418,Hazardous Materials Removal Workers
419,Health Educators
420,"Health Specialties Teachers, Postsecondary"
421,Healthcare Social Workers
422,Hearing Aid Specialists
423,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
424,Heating and Air Conditioning Mechanics and Installers
425,Heavy and Tractor-Trailer Truck Drivers
426,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
427,Helpers--Carpenters
428,Helpers--Electricians
429,Helpers--Extraction Workers
430,"Helpers--Installation, Maintenance, and Repair Workers"
431,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
432,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
433,Helpers--Production Workers
434,Helpers--Roofers
435,Highway Maintenance Workers
436,Historians
437,"History Teachers, Postsecondary"
438,Histotechnologists and Histologic Technicians
439,Hoist and Winch Operators
440,Home Appliance Repairers
441,"Home Economics Teachers, Postsecondary"
442,Home Health Aides
443,Hospitalists
444,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
445,"Hotel, Motel, and Resort Desk Clerks"
446,Human Factors Engineers and Ergonomists
447,"Human Resources Assistants, Except Payroll and Timekeeping"
448,Human Resources Managers
449,Human Resources Specialists
450,Hunters and Trappers
451,Hydroelectric Plant Technicians
452,Hydroelectric Production Managers
453,Hydrologists
454,Immigration and Customs Inspectors
455,Industrial Ecologists
456,Industrial Engineering Technicians
457,Industrial Engineering Technologists
458,Industrial Engineers
459,Industrial Machinery Mechanics
460,Industrial Production Managers
461,Industrial Safety and Health Engineers
462,Industrial Truck and Tractor Operators
463,Industrial-Organizational Psychologists
464,Informatics Nurse Specialists
465,Information Security Analysts
466,Information Technology Project Managers
467,"Inspectors, Testers, Sorters, Samplers, and Weighers"
468,Instructional Coordinators
469,Instructional Designers and Technologists
470,"Insulation Workers, Floor, Ceiling, and Wall"
471,"Insulation Workers, Mechanical"
472,"Insurance Adjusters, Examiners, and Investigators"
473,"Insurance Appraisers, Auto Damage"
474,Insurance Claims Clerks
475,Insurance Policy Processing Clerks
476,Insurance Sales Agents
477,Insurance Underwriters
478,Intelligence Analysts
479,Interior Designers
480,"Internists, General"
481,Interpreters and Translators
482,"Interviewers, Except Eligibility and Loan"
483,Investment Fund Managers
484,Investment Underwriters
485,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
486,Jewelers
487,"Judges, Magistrate Judges, and Magistrates"
488,Judicial Law Clerks
489,"Kindergarten Teachers, Except Special Education"
490,Labor Relations Specialists
491,"Laborers and Freight, Stock, and Material Movers, Hand"
492,Landscape Architects
493,Landscaping and Groundskeeping Workers
494,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
495,Laundry and Dry-Cleaning Workers
496,"Law Teachers, Postsecondary"
497,Lawyers
498,"Layout Workers, Metal and Plastic"
499,Legal Secretaries
500,Legislators
501,Librarians
502,"Library Assistants, Clerical"
503,"Library Science Teachers, Postsecondary"
504,Library Technicians
505,License Clerks
506,Licensed Practical and Licensed Vocational Nurses
507,Licensing Examiners and Inspectors
508,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
509,Light Truck or Delivery Services Drivers
510,"Loading Machine Operators, Underground Mining"
511,Loan Counselors
512,Loan Interviewers and Clerks
513,Loan Officers
514,"Locker Room, Coatroom, and Dressing Room Attendants"
515,Locksmiths and Safe Repairers
516,Locomotive Engineers
517,Locomotive Firers
518,Lodging Managers
519,Log Graders and Scalers
520,Logging Equipment Operators
521,Logisticians
522,Logistics Analysts
523,Logistics Engineers
524,Logistics Managers
525,Loss Prevention Managers
526,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
527,Machine Feeders and Offbearers
528,Machinists
529,Magnetic Resonance Imaging Technologists
530,Maids and Housekeeping Cleaners
531,"Mail Clerks and Mail Machine Operators, Except Postal Service"
532,"Maintenance Workers, Machinery"
