,roles
843,Shoe Machine Operators and Tenders
844,Shoe and Leather Workers and Repairers
845,Signal and Track Switch Repairers
846,Singers
847,Skincare Specialists
848,Slaughterers and Meat Packers
849,Slot Supervisors
850,Social Science Research Assistants
851,"Social Work Teachers, Postsecondary"
852,Social and Community Service Managers
853,Social and Human Service Assistants
854,Sociologists
855,"Sociology Teachers, Postsecondary"
856,"Software Developers, Applications"
857,"Software Developers, Systems Software"
858,Software Quality Assurance Engineers and Testers
859,Soil and Plant Scientists
860,Soil and Water Conservationists
861,Solar Energy Installation Managers
862,Solar Energy Systems Engineers
863,Solar Photovoltaic Installers
864,Solar Sales Representatives and Assessors
865,Solar Thermal Installers and Technicians
866,Solderers and Brazers
867,Sound Engineering Technicians
868,Spa Managers
869,"Special Education Teachers, Kindergarten and Elementary School"
870,"Special Education Teachers, Middle School"
871,"Special Education Teachers, Preschool"
872,"Special Education Teachers, Secondary School"
873,Speech-Language Pathologists
874,Speech-Language Pathology Assistants
875,Sports Medicine Physicians
876,Statement Clerks
877,Stationary Engineers and Boiler Operators
878,Statistical Assistants
879,Statisticians
880,"Stock Clerks, Sales Floor"
881,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
882,"Stone Cutters and Carvers, Manufacturing"
883,Stonemasons
884,Storage and Distribution Managers
885,Structural Iron and Steel Workers
886,Structural Metal Fabricators and Fitters
887,Substance Abuse and Behavioral Disorder Counselors
888,Supply Chain Managers
889,Surgeons
890,Surgical Assistants
891,Surgical Technologists
892,Survey Researchers
893,Surveying Technicians
894,Surveyors
895,Sustainability Specialists
896,"Switchboard Operators, Including Answering Service"
897,"Tailors, Dressmakers, and Custom Sewers"
898,Talent Directors
899,"Tank Car, Truck, and Ship Loaders"
900,Tapers
901,"Tax Examiners and Collectors, and Revenue Agents"
902,Tax Preparers
903,Taxi Drivers and Chauffeurs
904,Teacher Assistants
905,Team Assemblers
906,Technical Directors/Managers
907,Technical Writers
908,Telecommunications Engineering Specialists
909,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
910,Telecommunications Line Installers and Repairers
911,Telemarketers
912,Telephone Operators
913,Tellers
914,Terrazzo Workers and Finishers
915,Textile Bleaching and Dyeing Machine Operators and Tenders
916,"Textile Cutting Machine Setters, Operators, and Tenders"
917,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
918,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
919,Tile and Marble Setters
920,Timing Device Assemblers and Adjusters
921,Tire Builders
922,Tire Repairers and Changers
923,"Title Examiners, Abstractors, and Searchers"
924,"Tool Grinders, Filers, and Sharpeners"
925,Tool and Die Makers
926,Tour Guides and Escorts
927,Traffic Technicians
928,Training and Development Managers
929,Training and Development Specialists
930,Transit and Railroad Police
931,"Transportation Attendants, Except Flight Attendants"
932,Transportation Engineers
933,Transportation Managers
934,Transportation Planners
935,Transportation Security Screeners
936,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
937,Travel Agents
938,Travel Guides
939,Treasurers and Controllers
940,Tree Trimmers and Pruners
941,Tutors
942,"Umpires, Referees, and Other Sports Officials"
943,Upholsterers
944,Urban and Regional Planners
945,Urologists
946,"Ushers, Lobby Attendants, and Ticket Takers"
947,Validation Engineers
948,Veterinarians
949,Veterinary Assistants and Laboratory Animal Caretakers
950,Veterinary Technologists and Technicians
951,Video Game Designers
952,"Vocational Education Teachers, Postsecondary"
953,Waiters and Waitresses
954,Watch Repairers
955,Water Resource Specialists
956,Water and Wastewater Treatment Plant and System Operators
957,Water/Wastewater Engineers
958,Weatherization Installers and Technicians
959,Web Administrators
960,Web Developers
961,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
962,"Welders, Cutters, and Welder Fitters"
963,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
964,Wellhead Pumpers
965,"Wholesale and Retail Buyers, Except Farm Products"
966,Wind Energy Engineers
967,Wind Energy Operations Managers
968,Wind Energy Project Managers
969,Wind Turbine Service Technicians
970,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
971,Word Processors and Typists
972,Zoologists and Wildlife Biologists
973,SEO Lead
974,Manufacturing Engineer
975,Manager - SCM and Ops (Fabrication)
976,Senior Manager - Sales
977,Senior UI Engineer
978,Fullstack Engineer
979,Inside Sales Specialist
980,Senior Sales Executive
981,Test role v2
982,Healthcare Manager
983,Inside Sales Executive
984,Developer Test
985,"Manager - Risk & Analytics, Underwriting"
986,Warehouse Manager
987,Frontend Developer
988,Sr Linux Systems Administrator
989,Product Marketer
990,Senior Eyewear Designer
991,PHP Tech Lead
992,Store Manager
993,EA to the Founder
994,Senior Business Development Manager
995,Senior Product Strategist
996,Senior Manager Strategic Alliances and Product
997,Product & User Research Lead - Eyewear
998,Research and Content Specialist
999,Regional Sales Head
1000,Product Marketing Copywriter
1001,Business Finance
1002,UX writer
1003,HR Executive
1004,B2B Channel Head - Business Development
1005,Senior business development Manager
1006,Merchandiser- Food Retails & Outlets
1007,Brand Manager
1008,Senior Backend Engineer
1009,Customer Service Executive
1010,Business Development Associate
1011,Senior Backend Engineer - Python
1012,Customer Success Manager
1013,Creative Content Associate
1014,Sales Account Executive
1015,Software Developer
1016,backend engineer (2)
1017,SDET 2
1018,Key Account Manager
1019,Staff SDET
1020,Account Executive
1021,Assistant Manager Sales
1022,Account Manager
1023,Manager - Finance
1024,QA and Automation Engineer
1025,Software technical lead
1026,Senior SDET
1027,Category Manager
1028,Senior Software Engineer I
1029,Logistics Coordinator
1030,Team Leader Collections
1031,Customer Support Executive
1032,Quality Trainer - Assistant Manager
1033,Hybrid Mobile App Developer - Ionic
1034,Backend Engineer
1035,Customer Relationship Executive
1036,Product Manager
1037,SCM and Ops Manager - Precision
1039,Job role for troubleshooting
1040,Assistant Category Manager
1041,Senior Manager- Category
1042,Finance Manager
1043,Veterinarian
1044,Front end lead
1045,Senior Graphic Designer
1046,Associate Manager - KAM
1047,Product Designer
1048,Relationship Manager
1049,Campaign Manager
1050,Legal Associate
1051,Enterprise Sales Associate
1052,Tele Caller
1053,Senior Software Engineer - Java
1054,Data Pod SDE (Backend)
1055,Assistant Manager – Quality & Training
1056,Technical Lead - Front-End
1058,Senior Category Manager
1059,Business Development Manager
1060,Big Data Engineer
1061,Customer Engagement Executive
1062,Software Engineer/Developer( .NET)
1063,Marketing Manager
1064,Payroll Specialist
1065,Junior Frontend Engineer
1066,Senior Performance Marketer
1067,Investment Analyst
1068,Operations Head
1069,Senior Frontend Engineer
1070,Assistant Manager – Customer Experience
1071,Marketing Specialist
1072,Content & Design Associate
1073,Lead UI Designer
1074,Vendor Development Manager
1075,Sr Backend Golang/NodeJs
1076,Senior React Native Developer
1077,QA Manual
1078,Senior Visual Designer
1079,Inside Sales Exec/Sr. Exec.
1080,Performance Marketer
1081,Full Stack Engineer
1082,Retention Manager
1083,Head of Compliance
1085,Sales Associate
1086,Learning Operations Associate
1087,BDM - Fabrication
1088,Human Resource Associate
1089,Sales Analytics Manager
1090,Informative Content Writer
1091,Operations Manager
1092,Project Manager
1093,BDM - Precision Manufacturing
1094,Full Stack Mean Developer
1095,Product Marketing Manager
1097,Head of Finance
1098,Software Engineer (Data Platform)
1099,Copywriter
1102,Social Media & Content Experience Manager
1104,Frontend Developer (React)
1106,(Sr) SDE - Backend - PHP & Laravel
1107,Operations Lead
1108,Operations Associate
1109,Quality Automation Lead
1110,SDE 3 - Backend
1111,Technical Support Engineer
1112,Customer Success Specialist/Manager
1113,Head of Business
1114,customer relationship executive
1115,Head of Sales and BD (Supply)
1117,Engineering manager
1118,Graphic Designer Internship
1119,Motion Graphic Designer
1120,Quantity Surveyor
1121,Junior content writer (Web/App)
1122,PPC Specialist (Kochi)
1123,Customer Success Manager (Placement)
1124,Software Development Engineer 3
1125,Outbound Sales Team Lead
1126,Community Manager
1127,Content Writer
1128,Front end developer (T1)
1129,Healthcare Quality Analyst
1131,Senior Frontend Developer/Tech Lead (React)
1132,Junior Backend Developer
1133,Devops Engineer
1134,Senior/Lead Software Developer Engineer
1136,Frontend engineer (1)
1137,Sr. Backend Developer
1138,Senior Copywriter
1139,Senior Product Manager
1140,Senior Backend Developer
1141,Content Operations Associate
1142,Regional Partnership Manager
1143,Acquisition Manager
1144,Growth Marketing Manager
1145,Senior Research and Content Specialist
1146,Backend Developer
1147,Lead iOS Developer
1148,Lead Generation Specialist
1149,"Backend Engineer, Applied ML"
1150,Brand and Marketing
1151,Machine Learning
1152,SDR Manager
1153,Sr. Product manager
1154,Jr. PHP developer
1155,Senior Machine Learning Engineer
1156,Mentor for Data Science and Machine Learning
1158,Payment Support Specialist/Manager
1159,Brand & Content Head
1160,Product Engineer - Android
1161,Crowd Puller
1162,UX Writer
1163,Copywriter / Scriptwriter
1165,Strategic Initiatives
1167,Sr Backend Developer/Tech Lead
1168,Youtube Manager
1170,Sr Frontend ReactNative Developer
1171,Demand Generation Manager
1172,Software Engineer Developer-1/2
1173,Growth/ Client Success Intern
1174,Junior Frontend Developer
1175,Sales Development Representative
1176,Spoken English Mentor/ IELTS Mentors
1179,Lead User Researcher
1180,Mobile Developer
1181,Front-End Engineer
1184,Whatsapp Advisor
1185,Android Developer
1186,Growth Marketer
1188,Senior Sales Manager/Sales Manager
1189,Full Stack Architect
1190,Techno-Commercial Lead
1191,Frontend Engineer Mobile
1192,Principal Engineer
1193,Recruitment Sourcing Lead
1194,Sales Manager
1195,Sales and BD Associate
1196,Junior Performance Marketer
1197,Junior Python Developer
1198,Delivery Lead
1199,Media Buyer - Google Ads
1200,Founding Head of BizOps and Strategy
1201,Head of Customer Success
1203,Performance Marketing Head/Lead
1204,Brand Manager / Asst. Brand Manager
1206,Salesforce Developer/ SFDC Specialist
1208,Offline Channel Manager
1209,Front end Engineer
1211,HR Manager - Talent Acquisition
1212,Head of Data Science
1213,Senior iOS Developer
1214,Catalog Associate
1215,Sales Manager (Tamil )
1216,DevOps Engineer
1217,CSR Program Manager
1218,Product Analyst
1219,Human Resource Manager
1220,Content Intern
1222,Acquisition - Associate
1223,Senior Python Developer
1224,Performance Marketing Expert
1226,Data Engineer
1227,Junior content writer (Content and Blogs)
1228,Production Manager
1231,Tech Lead
1232,Digital Marketing Manager
1233,Associate Channel Sales
1234,Product Manager / Associate PM
1235,PPC Specialist (Coimbatore)
1236,Social Media Strategist
1237,DevOps Lead
1238,Social Media Marketing Manager
1239,Senior App Support Engineer
1240,Frontend Engineer
1241,Graphic Designer
1242,Software Development Engineer -  2
1243,Customer Success Associate
1244,Staff SDE II
1245,Junior Product Engineer
1246,Growth Manager
1247,Tech Lead (Data pod)
1248,Logistics Manager
1250,Presales
1252,Academic Counsellor
1253,Senior Project Manager
1254,Frontend Technical Lead
1255,Validator
1257,VP - Marketing
1258,SDE III (Backend)
1260,PR Manager
1262,Video creator / photographer
1263,Client Relationship Manager
1265,SDE 2 - Backend
1266,Head of Digital Marketing
1267,SDE - ll
1268,SDE IV (Backend)
1269,HR executive
1270,Cloud Engineer
1272,C++ Application Developer
1274,Performance Marketing Associate
1275,Lead Technical Support
1276,Market Research Analyst
1277,Senior PPC Lead
1278,Talent Acquisition Associate
1279,Golang Developer
1280,Senior Product Designer
1281,Manual QA
1282,Mentor - Full Stack Developer
1284,SDE - IV
1286,Design Lead/Product Design Lead
1287,Marketing Associate
1288,Content and Community Manager
1289,Data - SDE (Backend)
1290,Channel Sales Manager
1291,Fullstack Developer
1292,Junior Finance Associate
1295,Head of Engineering
1296,Embedded software engineer
1297,UI/UX Developer
1298,Python Mentor
1299,Talent Acquisition Executive
1300,Frontend Engineer Web
1302,Python Developer
1304,Recruiter & HR
1305,Senior A.I. Engineer
1306,Lead QA Engineer
1307,Data Analyst Intern
1308,Lead Trainer
1309,Senior Content and Copywriter
1311,Mentor - Stock market
1313,QA Engineer
1315,C++ Qt Developer
1317,Content Creator
1318,Senior Devops Engineer
1319,Lead Computer Vision Engineer
1320,Growth Marketing Associate
1322,Staff SDE (Squad Lead)
1326,Insight specialist
1328,Executive Assistant
1329,Founders Office - HR Strategic Partner
1330,Senior UI Developer
1333,Sales and Marketing Intern
1334,Junior Associate Operations
1335,Video and Social Media Content Creator
1336,Storyteller
1337,Logistics & Customer success manager
1339,SDE 2 - Fullstack
1340,Program Manager
1341,Mid Senior Android Engineer
1342,Solidity Developer
1343,Head of People (HR Associate)
1344,Senior Engineering Manager
1345,Senior Ionic Developer
1346,Senior Customer Success Manager
1347,UI/UX Designer
1348,Team Leader Collection
1352,Social Media Manager
1353,Junior Brand manager/ Brand marketing associate
1354,Research & Content - Intern
1355,QA - Automation Tester
1357,Software Development Engineer 2
1358,Senior Data and Analytics Engineer
1359,Assistant Academic Counsellor
1360,Senior SDE - Frontend
1364,Enteprise Architect
1365,DevOps
1366,MIS Executive
1367,Growth Associate / Digital Marketing Executive
1368,Inside Sales Team Lead
1371,iOS Developer
1373,Senior SRE Engineer
1375,Cost Accountant
1376,Reverse Logistics Manager
1377,Backend Engineer Junior
1378,Senior Client Servicing Manager
1380,Senior Content Writer
1381,Social Media Intern
1382,Copywriter Intern
